Name,Ticker,"Sub-Sector","Market Cap","Total Revenue","Taxes & Other Items","Interest & Other Items","Payout Ratio","Earnings Per Share","Net Income","Depreciation & Amortization","PBT","Dividend Per Share","EBITDA","PBIT","Employee Cost","Operating & Other expenses"
Axita Cotton Ltd,AXITA,"Textiles","572.62722756","1104.3799999999999","6.960000000000001","0.81","0","0.7771188182440986","20.319999999999908","1.27","27.27999999999991",,"29.359999999999907","28.089999999999907","2.22","1.209999999999992"
Shree Karni Fabcom Ltd,SHREEKARNI,"Textiles","568.5888","137.79","4.33","4.05","0","28.28","14.709999999999996","3.1","19.039999999999996","0","26.189999999999998","23.089999999999996",,"111.6"
HT Media Ltd,HTMEDIA,"Publishing","565.054190701","1886.33","-59.870000000000005","77.77","0","-3.485066265129957","-80.6","119.21","-140.47",,"56.50999999999999","-62.7","413.18","375.53999999999996"
Modi's Navnirman Ltd,MODIS,"Real Estate Development","561.581748","23.369999999999997","0.33","0.03","0","1.4273337183987154","2.569999999999991","0.01","2.899999999999991","0","2.9399999999999906","2.929999999999991","0.5","-40.9"
3i Infotech Ltd,3IINFOLTD,"IT Services & Consulting","560.71869027","817.2","14.31","10.09","0","-17.69","-298.27","27.15","-283.96","0","-246.72000000000003","-273.87",,"1063.92"
Niyogin Fintech Ltd,NIYOGIN,"Diversified Financials","558.4735865350001","198","-9.33",,"0","-1.7722108472814437","-16.789999999999985","8.1","-26.119999999999983","0","-18.019999999999982","-26.119999999999983","43.35","16.299999999999983"
Viviana Power Tech Ltd,VIVIANA,"Electrical Components & Equipments","554.8426","65.8","2.32","3.01","0","10.988274706867664","6.559999999999995","0.24","8.879999999999995",,"12.129999999999995","11.889999999999995","2.23","14.770000000000003"
Proventus Agrocom Ltd,PROV,"Packaged Foods & Meats","554.714709","501.97999999999996","1.68","2.1","0","23.39055079901009","7.239999999999958","1.23","8.919999999999957",,"12.249999999999957","11.019999999999957","4.25","11.920000000000016"
TRF Ltd,TRF,"Industrial Machinery","552.03632798","162.05","2.08","13.86","0","31.44193438050122","34.600000000000016","2.24","36.680000000000014","0","52.780000000000015","50.54000000000001","62.24","18.400000000000006"
Sealmatic India Ltd,SEALMATIC,"Industrial Machinery & Supplies & Components","550.421","73.25","3.6900000000000004","0.52","0.1011686991869919","10.872928176795579","9.84","2.07","13.530000000000001","1.1","16.12","14.05","13.04","3.0800000000000014"
Almondz Global Securities Ltd,ALMONDZ,"Investment Banking & Brokerage","549.968687928","143.72","1.8099999999999998",,"0","2.155215490836891","34.07","3.46","35.88","0","39.34","35.88","31.15","7.009999999999991"
Esconet Technologies Ltd,ESCONET,"IT Services & Consulting","549.1548","140.8","2.01","1.78","0","5.2312470850702795","5.440000000000009","0.99","7.450000000000009","0","10.22000000000001","9.23000000000001","4.89","1.280000000000002"
ZIM Laboratories Ltd,ZIMLAB,"Pharmaceuticals","548.847568896","372.6","6.390000000000001","6.92","0","3.540217922270121","17.250000000000036","15.95","23.640000000000036","0","46.51000000000003","30.560000000000034","53.34","23.959999999999976"
Nila Infrastructures Ltd,NILAINFRA,"Real Estate","548.6876556","198.20000000000002","4.51","7.73","0","0.2856133146072555","11.250000000000016","1.35","15.760000000000016","0","24.840000000000018","23.490000000000016","3.92","44.57000000000001"
Delton Cables Ltd,DLTNCBL,"Electrical Components & Equipment","548.5968","422.32","3.12","17.82","0","16.967592592592535","14.65999999999995","1.56","17.77999999999995",,"37.159999999999954","35.59999999999995","23.41","-3.269999999999964"
Gokul Refoils and Solvent Ltd,GOKUL,"Packaged Foods & Meats","548.23431","3042.92","0.8600000000000003","33.3","0","0.18282828282827793","1.8099999999999516","10.37","2.669999999999952",,"46.33999999999995","35.96999999999995","19.49","139.90999999999994"
Trust Fintech Ltd,TRUST,"Software Services","547.9796","35.28","4.19","0.02","0","7.13","12.510000000000002","1.23","16.700000000000003","0","17.950000000000003","16.720000000000002",,"17.33"
Singer India Ltd,SINGER,"Home Electronics & Appliances","547.4329268939999","433.07000000000005","1.63","0.56","0","0.7353777608593719","4.500000000000022","2.63","6.130000000000022","0","9.320000000000022","6.690000000000022","40.42","-16.069999999999986"
Lyka Labs Ltd,LYKALABS,"Pharmaceuticals","545.7001","112.64","1.56","4.89","0","-0.7839448102853593","-2.500000000000011","12.8","-0.940000000000011","0","16.74999999999999","3.9499999999999886","26.77","3.500000000000006"
Diamines and Chemicals Ltd,DIAMINESQ,"Commodity Chemicals","544.23444375","106.59","6.72","0.2","0.15810625404007755","15.812151234487459","15.470000000000002","2.85","22.19","2.5","25.240000000000002","22.39","12.22","6.450000000000008"
Sadbhav Engineering Ltd,SADBHAV,"Construction & Engineering","544.2225776","2067.15","-165.38","560.46","0","-36.72419782387208","-630.0799999999992","127.39","-795.4599999999992",,"-107.60999999999922","-234.9999999999992","60.3","2016.1899999999996"
Autoline Industries Ltd,AUTOIND,"Auto Parts","543.8088799479999","656.63","-0.15000000000000008","23.04","0","4.07","16.400000000000006","13.83","16.250000000000007","0","53.120000000000005","39.290000000000006",,"603.51"
Reliance Communications Ltd,RCOM,"Telecom Services","543.3623019","481","14","47","0","-26.078155167952158","-7212","127","-7198",,"-7024","-7151","38","7320"
Vinsys IT Services India Ltd,VINSYS,"IT Services & Consulting","542.422792285","171.62","1.7500000000000002","2.66","0","18.559095340544598","22.899999999999988","2.89","24.649999999999988","0","30.19999999999999","27.309999999999988","24.64","106.50999999999999"
BPL Ltd,BPL,"Home Electronics & Appliances","542.259515072","71.98","3.46","0.8","0","2.736047886228432","13.400000000000002","1.99","16.860000000000003",,"19.650000000000002","17.660000000000004","7.59","5.6499999999999995"
Vikram Thermo (India) Ltd,VIKRAMTH,"Pharmaceuticals","542.1772265","127.55","8.68","1.14","0.0926650413711584","8.093667135980304","25.379999999999995","3.49","34.059999999999995","0.75","38.69","35.199999999999996","10.2","2.7100000000000044"
IFB Agro Industries Ltd,IFBAGRO,"Alcoholic Beverages","540.76331803","950.1","-6.91","1.62","0","-8.62592532532177","-8.080000000000013","21.35","-14.990000000000013","0","7.97999999999999","-13.370000000000012","60.07","108.04000000000005"
Rathi Steel and Power Ltd,RATHIST,"Steel","538.533871993","516.12","0.07","11.74","0","2.77","23.540000000000028","8.74","23.610000000000028","0","44.09000000000003","35.35000000000003",,"472.03"
Madhav Infra Projects Ltd,MADHAVIPL,"Construction & Engineering","538.35437532","466.5199999999999","3.08","23.84","0","0.8049511991843901","21.69999999999986","15.84","24.779999999999863",,"64.45999999999987","48.61999999999986","12.51","171.12000000000003"
Nahar Capital and Financial Services Ltd,NAHARCAP,"Asset Management","538.22180738","51.769999999999996","3.1899999999999995",,"0.21359906887755103","7.022502522517541","11.76","1.04","14.95","1.5","15.989999999999998","14.95","6.53","28.09"
Energy-Mission Machineries (India) Ltd,EMMIL,"Industrial Machinery","537.895485",,,,,,,,,,,,,
Orient Bell Ltd,ORIENTBELL,"Building Products - Ceramics","537.8101256","690.1600000000001","0.21999999999999997","1.95","0.7901255978259862","0.6328107852419151","0.9200000000001172","21.42","1.1400000000001171","0.5","24.51000000000012","3.090000000000117","99.19","21.08999999999996"
Mach Conferences and Events Limited,MCEL,,"535.814937","239.22","8.91","1.17","0","13.914217810411463","26.169999999999984","0.39","35.079999999999984","0","36.639999999999986","36.249999999999986","5.6","192.61"
Xtglobal Infotech Ltd,XTGLOBAL,"IT Services & Consulting","532.006788455","220.4","3.7199999999999998","2.71","0","0.86","11.680000000000014","9.03","15.400000000000013","0","27.140000000000015","18.110000000000014",,"193.26"
Shivalic Power Control Ltd,SPCL,"Electrical Components & Equipments","530.66716677","102.68","4.02","2.96","0","6.54","11.220000000000006","1.76","15.240000000000006","0","19.960000000000008","18.200000000000006",,"82.72"
Shalibhadra Finance Ltd,SAHLIBHFI,"Diversified Financials","529.97","32.78","4.13",,"0","18.054404340290862","11.98","0.07","16.11",,"16.18","16.11","3.69","12.910000000000002"
Valiant Laboratories Ltd,VALIANTLAB,"Pharmaceuticals","529.95965","191.74","-1.09","0.08","0","0.08419944744113002","0.3200000000000146","1.97","-0.7699999999999855","0","1.2800000000000145","-0.6899999999999855","4.31","6.460000000000007"
Goodricke Group Ltd,GOODRICKE,"Tea & Coffee","529.416","834.25","3.68","10.11","0","-32.08","-69.30000000000004","20.68","-65.62000000000003","0","-34.83000000000004","-55.51000000000004",,"869.08"
Euro India Fresh Foods Ltd,EIFFL,"FMCG - Foods","528.4136","111.41","0.8600000000000001","3.63","0","0.8830645161290338","2.190000000000004","2.8","3.0500000000000043",,"9.480000000000004","6.680000000000004","5.74","5.059999999999998"
SRG Housing Finance Ltd,SRGHFL,"Consumer Finance","527.722061795","126.66000000000001","5.04",,"0","16.007604562737647","21.050000000000004","5.78","26.090000000000003","0","31.870000000000005","26.090000000000003","27.3","67.49000000000001"
Sinclairs Hotels Ltd,SINCLAIR,"Hotels, Resorts & Cruise Lines","525.82508","65.13","4.890000000000001","1.29","0.25696202531645573","3.891625615763546","20.539999999999996","4.87","25.429999999999996","1","31.589999999999996","26.719999999999995","11.76","4.649999999999998"
Kiran Vyapar Ltd,KIRANVYPAR,"Diversified Financials","525.740587335","109.32","11.39",,"0.05230125523012552","19.12","52.11999999999999","0.19","63.50999999999999","1","63.69999999999999","63.50999999999999",,"45.620000000000005"
IL&FS Engineering and Construction Company Ltd,IL&FSENGG,"Construction & Engineering","524.615433078","370.99","-0.17","13.47","0","-5.906754366372733","-77.44999999999997","7.44","-77.61999999999998","0","-56.70999999999998","-64.14999999999998","39.75","286.07000000000005"
Mangalam Organics Ltd,MANORG,"Commodity Chemicals","524.0152614","494.29999999999995","-0.4199999999999998","15.62","0","5.149198313024474","4.409999999999933","19.84","3.9899999999999327","0","39.44999999999993","19.609999999999932","39.07","82.00000000000003"
Taylormade Renewables Ltd,TRL,"Renewable Energy Equipment & Services","523.6934957100001","46.92","4.61","0.6","0","10.154080522910284","10.619999999999997","0.36","15.229999999999999",,"16.189999999999998","15.829999999999998","1.17","4.180000000000002"
Pasupati Acrylon Ltd,PASUPTAC,"Textiles","523.21142027","586","5.209999999999999","2.58","0","1.479382439147212","13.189999999999943","5.87","18.39999999999994","0","26.849999999999945","20.979999999999944","24.89","30.84000000000004"
United Drilling Tools Ltd,UNIDT,"Oil & Gas - Equipment & Services","521.18124442","130.56","4.41","2.99","0.25917926565874727","4.63","9.379999999999997","5.19","13.789999999999997","1.2","21.97","16.779999999999998",,"108.59"
Uravi T & Wedge Lamps Ltd,URAVI,"Electrical Components & Equipments","520.795","42.68","0.35999999999999993","2.36","0","1.9272727272727288","2.120000000000002","2.36","2.4800000000000018",,"7.200000000000001","4.840000000000002","8.44","-1.9100000000000015"
Swaraj Suiting Ltd,SWARAJ,"Textiles","519.2585387","325.51","6.2","13.24","0","7.733244742733495","18.180000000000003","8.01","24.380000000000003",,"45.63","37.620000000000005","12.84","0.19999999999999574"
Rudra Global Infra Products Ltd,RUDRA,"Iron & Steel","518.0751839640001","557.86","1.09","15.67","0","2.07","20.77000000000005","5.79","21.86000000000005","0","43.32000000000005","37.53000000000005",,"514.54"
Pradeep Metals Ltd,PRADPME,"Iron & Steel","517.66825","280.40000000000003","5.97","7.25","0.15495737999102713","12.90677475390853","22.290000000000035","9.69","28.260000000000034","2","45.20000000000003","35.51000000000003","39.17","42.859999999999985"
Precot Ltd,PRECOT,"Textiles","516","994.33","0.51","42.02","0.10720667063728408","13.991666666666669","16.790000000000003","22.67","17.300000000000004","1.5","81.99000000000001","59.32000000000001","91.49","136.47000000000003"
Inspirisys Solutions Ltd,INSPIRISYS,"IT Services & Consulting","514.3062452859999","494.22","4.97","10.58","0","0.9263729623486543","3.6700000000000417","4.58","8.640000000000041","0","23.80000000000004","19.22000000000004","122.64","120.25000000000003"
International Travel House Ltd,ITHL,"Hotels, Resorts & Cruise Lines","513.88646","221.26000000000002","7.94","0.62","0.17765555555555554","28.144349240102574","22.500000000000004","7.37","30.440000000000005","5","38.43000000000001","31.060000000000006","45.04","15.090000000000003"
Mazda Ltd,MAZDA,"Industrial Machinery","512.8002","232.01000000000002","10.27","0.54","0.20329949238578662","78.70162297128596","31.520000000000028","4.02","41.79000000000003","16","46.35000000000003","42.33000000000003","26.66","42.03000000000001"
UFO Moviez India Ltd,UFO,"Movies & TV Serials","512.648901373","422.11","6.34","12.71","0","4.260173901080332","16.350000000000026","42.79","22.690000000000026","0","78.19000000000003","35.40000000000003","92.32","123.33000000000001"
Shemaroo Entertainment Ltd,SHEMAROO,"Movies & TV Serials","511.55436712700003","712.09","3.379999999999999","36.34","0","-14.942494004806749","-40.65000000000002","5.57","-37.27000000000002","0","4.639999999999986","-0.9300000000000139","115.22","33.04000000000007"
Pavna Industries Ltd,PAVNAIND,"Auto Parts","510.558232","319.87","5.15","11.08","0","8.67","10.56000000000001","10.7","15.71000000000001","0","37.49000000000001","26.79000000000001",,"282.38"
Premier Polyfilm Ltd,PREMIERPOL,"Home Furnishing","509.320758935","297.28","6.67","2.04","0.07626879247572817","9.833641987169004","20.599999999999994","5.16","27.269999999999992","0.75","34.46999999999999","29.30999999999999","24.77","18.089999999999975"
Bombay Oxygen Investments Ltd,BOMOXY-B1,"Conglomerates","507.885","72.22","12.620000000000001",,"0.006510416666666668","3839.9999999999995","57.599999999999994","0.19","70.22","25","70.41","70.22","0.59","1.2200000000000002"
Super Sales India Ltd,SUPER,"Conglomerates","507.6728775","432.12","5.75","7.77","0.10826032225579059","64.65896141950184","19.85999999999999","22.14","25.60999999999999","7","55.51999999999999","33.37999999999999","49.3","52.760000000000026"
Akme Fintrade India Ltd,AFIL,"Consumer Finance","506.936277484","73.54","5.23",,"0","5.84688313772794","18.519999999999996","0.51","23.749999999999996",,"24.259999999999998","23.749999999999996","7.4","41.88"
Kothari Products Ltd,KOTHARIPRO,"Commodities Trading","506.68913997","1037.28","0.9099999999999999","6.14","0","10.886659619992267","32.49000000000005","1.9","33.40000000000005","0","41.44000000000005","39.54000000000005","5.34","5.589999999999951"
Raghuvir Synthetics Ltd,RAGHUSYN,"Textiles","506.65625","244.26","0.44","3.7","0","1.2077419354838663","4.679999999999982","7.63","5.119999999999982","0","16.44999999999998","8.819999999999983","7.6","36.949999999999996"
DU Digital Global Ltd,DUGLOBAL,"IT Services & Consulting","505.62109","17.91","1.17","0.77","0","0.30742391739200287","2.06","1.22","3.23",,"5.22","4","4.53","2.6500000000000004"
ELGI Rubber Co Ltd,ELGIRUBCO,"Tires & Rubber","505.15465","419.84","2.05","25.44","0","2.3296703296703334","11.660000000000018","19.11","13.710000000000019","0","58.26000000000002","39.15000000000002","45.13","48.449999999999974"
Banswara Syntex Ltd,BANSWRAS,"Textiles","504.272829404","1283.4699999999998","11.889999999999999","29.63","0.09631987619583643","10.382073145181497","35.53999999999972","43.38","47.42999999999972","1","120.43999999999971","77.05999999999972","283.01","172.82000000000005"
Valiant Communications Ltd,VALIANT,"Telecom Equipments","503.9477839","46.769999999999996","2.1","0.22","0","8.349313740277086","6.1999999999999975","2.26","8.299999999999997","0","10.779999999999998","8.519999999999998","6.91","5.549999999999997"
Emkay Global Financial Services Ltd,EMKAY,"Investment Banking & Brokerage","501.80235643599997","316.57","11.520000000000001",,"0.11399007855822542","13.15903997060419","32.46000000000003","9.8","43.98000000000003","1.5","53.78000000000003","43.98000000000003","150.84","32.49999999999997"
Anjani Portland Cement Ltd,APCL,"Cement","501.603470064","625.02","-11.31","32.21","0","-13.300532388958125","-39.070000000000114","48.11","-50.380000000000116","0","29.939999999999884","-18.170000000000115","37.11","141.64000000000007"
Vipul Ltd,VIPULLTD,"Real Estate","500.96999192","438.54","53.68","24.07","0","19.462517152218354","233.51999999999998","2.74","287.2","0","314.01","311.27","10.13","109.59"
Airan Ltd,AIRAN,"IT Services & Consulting","500.95514","108.55","4.32","0.31","0","0.98","12.55","5.46","16.87","0","22.64","17.18",,"85.91"
Vision Infra Equipment Solutions Ltd,VIESL,"Business Support Services","500.610356","349.6600000000001","12.77","17.47","0","15.427745664739955","26.690000000000122","42.36","39.46000000000012",,"99.29000000000012","56.93000000000012","15.61","15.129999999999978"
Jenburkt Pharmaceuticals Ltd,JENBURPH,"Pharmaceuticals","500.512353","146.64","9.200000000000001","0.27","0.25990565819861433","58.86751410509142","25.979999999999997","2.34","35.18","15.3","37.79","35.45","42.49","3.7699999999999965"
Phantom Digital Effects Ltd,PHANTOMFX,"Animation","499.850352","90.42999999999999","8.57","1.8","0","19.11242228143637","24.1","4.55","32.67",,"39.019999999999996","34.47","45.61","-6.340000000000003"
Lorenzini Apparels Ltd,LAL,"Apparel & Accessories","497.20361984799996","56.63","1.95","1.41","0","0.34","5.289999999999998","3.21","7.239999999999998","0","11.86","8.649999999999999",,"44.77"
Utssav CZ Gold Jewels Ltd,UTSSAV,"Precious Metals, Jewellery & Watches","495.89076","341.85","4.33","5.14","0","7.65","12.840000000000034","0.59","17.170000000000034","0","22.900000000000034","22.310000000000034",,"318.95"
Royal India Corporation Ltd,ROYALIND,"Commodity Chemicals","495.68016","27.15","-0.8099999999999999","4.9","0","-3.5745233968804153","-8.249999999999998","0.02","-9.059999999999999",,"-4.139999999999999","-4.159999999999998","0.38","4.069999999999998"
Atlantaa Ltd,ATLANTAA,"Construction & Engineering","494.9495","612.57","24.94","4.44","0","57.407361963190176","467.86999999999995","35.79","492.80999999999995",,"533.04","497.24999999999994","2.69","66.83000000000001"
Dynamic Services & Security Ltd,DYNAMIC,"Employment Services","492.94235712","119.73","4.33","3.98","0","6.63","8.87","0.43","13.2","0","17.61","17.18",,"102.12"
Trucap Finance Ltd,TRU,"Consumer Finance","489.92526386099996","182.83999999999997","0.45999999999999996",,"0","0.9403121142138423","10.95999999999998","9.26","11.419999999999979",,"20.67999999999998","11.419999999999979","42.86","86.29999999999998"
Investment & Precision Castings Ltd,INVPRECQ,"Auto Parts","489.5","172.08","3.6799999999999997","7.29","0.06410256410256412","15.599999999999994","7.799999999999997","7.82","11.479999999999997","1","26.589999999999996","18.769999999999996","6.76","59.960000000000015"
Ador Fontech Ltd,ADORFO,"Industrial Machinery","489.475","217.41","7.81","0","0.8823529411764706","6.8","23.739999999999995","3.27","31.549999999999994","6","34.81999999999999","31.549999999999994",,"182.59"
Birla Precision Technologies Ltd,BIRLAPREC,"Industrial Machinery","489.03437780699994","227.56","7.35","3.5","0.06952265572033914","1.4383800354557599","9.439999999999978","6.49","16.789999999999978","0.1","26.77999999999998","20.289999999999978","50.72","29.300000000000047"
Frog Cellsat Ltd,FROG,"Electronic Equipments","488.99423225","160.92","4.56","0.47","0","10.080880730133579","15.529999999999983","3.11","20.089999999999982","0","23.66999999999998","20.55999999999998","13.69","21.770000000000003"
Orbit Exports Ltd,ORBTEXP,"Textiles","488.45590391","209.71","9.86","2.87","0","12.760704909279513","34.06999999999999","14.68","43.92999999999999",,"61.47999999999999","46.79999999999999","31.25","16.89000000000002"
Lakshmi Mills Company Ltd,LAKSHMIMIL,"Textiles","487.6014165","262.7","-6.42","11.95","0","-198.26036949176915","-13.790000000000004","18.43","-20.210000000000004","0","10.169999999999995","-8.260000000000005","37.82","25.130000000000003"
Vardhman Acrylics Ltd,VARDHACRLC,"Textiles","486.60248203000003","311.51","3.8099999999999996","0.29","0.9163483010262259","2.182576207933363","17.54","5.63","21.349999999999998","2","27.269999999999996","21.639999999999997","20.04","13.269999999999998"
Le Merite Exports Ltd,LEMERITE,"Textiles","484.17822","471.89","0.5599999999999999","7.36","0.2702702702702703","0.74","1.7499999999999853","0.47","2.3099999999999854","0.2","10.139999999999986","9.669999999999986",,"461.75"
Riddhi Siddhi Gluco Biols Ltd,RIDDHI,"Commodities Trading","482.36567183","348.91","7.519999999999998","8.85","0","61.53059853409342","43.86999999999998","10.75","51.38999999999998",,"70.98999999999998","60.23999999999998","8.08","32.650000000000034"
SoftTech Engineers Ltd,SOFTTECH,"Software Services","482.3201425","81.23","2.39","4.68","0","6.058717327757461","6.960000000000004","13.43","9.350000000000005",,"27.460000000000004","14.030000000000005","19.37","1.8399999999999963"
Aditya BSL Nifty 50 ETF,BSLNIFTY,"Equity","481.92970355999995",,,,,,,,,,,,,
Inertia Steel Ltd,INERTIAST,,"480.769138","0.39","0","0","0","-1.205787781350481","-0.029999999999999964","0","-0.029999999999999964",,"-0.029999999999999964","-0.029999999999999964","0.04","0.019999999999999976"
Chavda Infra Ltd,CHAVDA,"Construction & Engineering","480.66872","241.97","6.25","7.22","0","8.795948987246812","18.759999999999998","10.62","25.009999999999998",,"42.849999999999994","32.23","15.65","49.31"
Megasoft Ltd,MEGASOFT,"IT Services & Consulting","479.652806582","37.4","20.97","17.06","0","-1.73","-12.740000000000002","3.19","8.229999999999997","0","28.479999999999997","25.289999999999996",,"8.92"
Dhabriya Polywood Ltd,DHABRIYA,"Building Products - Laminates","479.5140535","113.69999999999999","1.77","4.76","0","4.637736858321292","5.019999999999994","4.18","6.789999999999994",,"15.729999999999993","11.549999999999994","17.58","7.249999999999997"
Euro Panel Products Ltd,EUROBOND,"Metals - Aluminium","478.975","397.4","5.31","9.65","0","5.96","14.609999999999967","4.53","19.919999999999966","0","34.099999999999966","29.569999999999965",,"363.3"
GEE Ltd,GEE,"Industrial Machinery","478.96742838","369.87","5.21","8.17","0","4.95","12.850000000000009","4.01","18.06000000000001","0","30.24000000000001","26.23000000000001",,"339.63"
Ambalal Sarabhai Enterprises Ltd,AMBALALSA,"Pharmaceuticals","478.72820011199997","183.94","0.98","6.09","0","0.7411921836168963","5.679999999999996","3.57","6.659999999999997","0","16.319999999999997","12.749999999999996","24.59","18.23999999999999"
U Y Fincorp Ltd,UYFINCORP,"Diversified Financials","478.63963576400005","197","19.46",,"0","3.4115102009753255","64.9","0.17","84.36",,"84.53","84.36","1.23","111.24000000000001"
Tembo Global Industries Ltd,TEMBO,"Iron & Steel","478.18282149","439.85","4.69","5.18","0.07874015748031496","12.7","14.20000000000002","2.72","18.890000000000022","1","26.79000000000002","24.07000000000002",,"413.06"
Newtime Infrastructure Ltd,NEWINFRA,"Real Estate","478.127418","14.63","-0.57","4.24","0","0.07331329436620657","7.940000000000001","0.03","7.370000000000001","0","11.64","11.610000000000001",,"2.99"
Dynemic Products Ltd,DYNPRO,"Commodity Chemicals","475.24157037","284.41999999999996","-1.0499999999999998","12.89","0","3.4313415533775435","4.069999999999939","16.68","3.019999999999939",,"32.58999999999994","15.90999999999994","19.88","38.54000000000001"
Quest Capital Markets Ltd,QUESTCAP,"Investment Banking & Brokerage","474.3","26.62","5.92",,"0.12400793650793648","20.160000000000004","20.160000000000004","0","26.080000000000002","2.5","26.080000000000002","26.080000000000002","0.23","0.31000000000000005"
Vibhor Steel Tubes Ltd,VSTL,"Iron & Steel","473.39738949499997","1074.3700000000001","6.38","18.07","0","10.686235208864256","17.71000000000016","8.29","24.09000000000016",,"50.45000000000016","42.16000000000016","20.98","-1.7300000000000146"
Cool Caps Industries Ltd,COOLCAPS,"Plastic Products","473.2664","161.03","1.73","6.17","0","3.408304498269881","3.939999999999982","3.52","5.669999999999982",,"15.359999999999982","11.839999999999982","2.77","3.9600000000000035"
B&B Triplewall Containers Ltd,BBTCL,"Packaging","472.41487968","376.3","5.48","6.82","0","8.54","17.600000000000023","10.45","23.080000000000023","0","40.35000000000002","29.900000000000023",,"335.95"
Modi Naturals Ltd,MODINATUR,"Agro Products","472.3770935","400.96999999999997","-0.36","7.89","0","-1.0630596999691557","-1.38000000000005","4.21","-1.74000000000005",,"10.35999999999995","6.14999999999995","26.13","25.93"
Ceenik Exports (India) Ltd,CEENIK,"Textiles","471.7135","5.42","0.28","1.7","0","1.71","0.56","0.21","0.8400000000000001","0","2.75","2.54",,"2.67"
Bharat Agri Fert & Realty Ltd,BHARATAGRI,"Commodity Chemicals","469.19481147","31.270000000000003","-0.04","2.93","0","-1.0973395003813269","-3.1900000000000035","3.84","-3.2300000000000035",,"3.5399999999999965","-0.3000000000000034","5.56","-0.009999999999992681"
Aryaman Financial Services Ltd,ARYAMAN,"Investment Banking & Brokerage","468.56502","70.05","14.48",,"0","23.55","17.649999999999995","0.15","32.129999999999995","0","32.279999999999994","32.129999999999995",,"37.77"
Patels Airtemp (India) Ltd,PATELSAI,"Industrial Machinery","466.9943888","372.88","5.4399999999999995","12.86","0.1111084631008802","27.00064348182163","14.769999999999994","4.06","20.209999999999994","3","37.129999999999995","33.06999999999999","14.67","33.04000000000002"
UMA Exports Ltd,UMAEXPORTS,"Agro Products","466.03469672","1536.76","2.46","8.36","0","3.01","10.179999999999918","0.59","12.639999999999919","0","21.589999999999918","20.99999999999992",,"1515.17"
Comfort Intech Ltd,COMFINTE,"Consumer Finance","464.55009216","158.86","-8.13","1.84","0.7151556973188864","0.09788078353067661","17.24","0.4","9.109999999999998","0.07","11.349999999999998","10.949999999999998","2.26","9.900000000000013"
Venus Remedies Ltd,VENUSREM,"Pharmaceuticals","464.03498842","613.0300000000001","16.150000000000002","0.09","0","21.321183201481198","28.500000000000075","26.44","44.65000000000008","0","71.18000000000008","44.74000000000008","66.95","10.429999999999975"
Pritika Auto Industries Ltd,PRITIKAUTO,"Auto Parts","462.588415287","412.22","10.02","14.78","0","1.0101895564090249","12.580000000000023","16.72","22.600000000000023","0","54.10000000000002","37.380000000000024","28.77","31.34999999999999"
Indian Bright Steel Co Ltd,IBRIGST,"Iron & Steel","462.514925","0.08","0","0","0","-0.963160120395015","-1.21","0","-1.21",,"-1.21","-1.21","0.09","0.030000000000000027"
Sakthi Sugars Ltd,SAKHTISUG,"Sugar","462.085051968","1315.03","44.42","108.94","0","10.89449307775621","129.47999999999985","37.07","173.89999999999986","0","319.90999999999985","282.83999999999986","62.19","179.39000000000004"
SMS Lifesciences India Ltd,SMSLIFE,"Pharmaceuticals","459.2372953","309.79","0.7499999999999996","10.16","0.04986702127659575","30.08","9.09","14.94","9.84","1.5","34.94","20",,"274.85"
Kothari Sugars and Chemicals Ltd,KOTARISUG,"Sugar","457.46207302","517.13","12.42","3.53","0.14058443012211658","3.556581618360457","29.480000000000018","14.27","41.90000000000002","0.5","59.70000000000002","45.43000000000002","33.5","9.179999999999993"
Mawana Sugars Ltd,MAWANASUG,"Sugar","457.237023296","1382.7099999999998","15.39","29.7","0.41557154847277794","9.625298013542956","37.64999999999978","35.35","53.03999999999978","4","118.08999999999978","82.73999999999978","80.73","-102.19000000000005"
Captain Polyplast Ltd,CPL,"Industrial Machinery","456.70888113","298.88","5.2","10.94","0","3.43","17.78999999999998","2.41","22.98999999999998","0","36.339999999999975","33.92999999999998",,"262.54"
Poddar Pigments Ltd,PODDARMENT,"Specialty Chemicals","456.38915","375.51","10.04","0.47","0.14730996181881306","27.153628652214863","28.809999999999967","6.72","38.849999999999966","4","46.039999999999964","39.319999999999965","33.1","12.700000000000017"
Rubfila International Ltd,RUBFILA,"Commodity Chemicals","454.599090433","477.35","7.2","0.32","0.25628112868949254","4.682358026657152","25.40999999999998","10.61","32.60999999999998","1.2","43.53999999999998","32.92999999999998","34.16","14.970000000000038"
UCAL Ltd,UCAL,"Auto Parts","453.616789625","735.09","16.41","24.43","0","-11.41829980385396","-25.250000000000004","33.38","-8.840000000000003","0","48.97","15.589999999999996","160.57","91.84"
Jet Airways (India) Ltd,JETAIRWAYS,"Airlines","452.34477910600003","55.27","0","4.28","0","-88.21","-1002.0600000000001","155.72","-1002.0600000000001","0","-842.0600000000001","-997.7800000000001",,"897.33"
GP Petroleums Ltd,GULFPETRO,"Commodity Chemicals","450.447023805","657.1","9.450000000000001","0.39","0","5.434997614857863","27.70999999999998","4.55","37.15999999999998","0","42.09999999999998","37.54999999999998","27.55","7.490000000000009"
