Name,Ticker,"Sub-Sector","Market Cap","Debt to Equity","Long Term Debt to Equity","Cash Conversion Cycle","Quick Ratio","Current Ratio","Interest Coverage Ratio","Working Capital Turnover Ratio","Net Income / Liabilities","Earning Power"
Shree Ajit Pulp and Paper Ltd,SAPPL,"Paper Products","199.73038991500002","99.56877585144768","71.60961013816774",,"0.7224720176026023","1.2506457476322588","2.5256756756756706","7.55121462559479","2.852197992384895","3.620970241785485"
Weizmann Limited,WEIZMANIND,"Textiles","199.427189075","10.618131868131869","2.287547440848537e-16",,"0.5842245989304813","1.018270944741533","19.36923076923078","-40.54515599343181","36.72131147540988","12.952674897119351"
Krebs Biochemicals and Industries Ltd,KREBSBIO,"Pharmaceuticals","199.30605698399998","590.7235621521351","496.2894248608547","-317.949927388","0.12370633893919791","0.2821798188874515","-3.2089552238805954","-1.3141307155773703",,
Toyam Sports Ltd,TOYAMSL,"Diversified Financials","199.303065","1.2301463718467767","0",,"9.451566951566953","9.455840455840457",,"0.684555754323196","69.08831908831894","11.959573273441885"
Indrayani Biotech Ltd,INDRANIB,"Software Services","198.629148672","147.52851711026614","92.64455224859051",,"1.1784565916398715","1.664790996784566","2.086138613861387","5.273700787401573","4.031951312286046","9.003888722704161"
Arvee Laboratories (India) Ltd,ARVEE,"Specialty Chemicals","198.34898","3.5637918745545263","3.5637918745545263","66.7955033708","1.9230769230769231","2.4400452488687785","8.319999999999993","2.7024901703800777","9.877704609595469","5.376066166968204"
Emerald Finance Ltd,EMERALD,"Consumer Finance","198.29013545","14.098508811568008","14.098508811568008",,"3.7276595744680847","3.7276595744680847",,"2.042813455657492","48.36829836829836","10.579106737320213"
Maheshwari Logistics Ltd,MAHESHWARI,"Logistics","197.699877673","115.35329341317366","54.80239520958084",,"0.9464059047529498","1.4674909501198814","1.6507142857142878","10.399584795610696","4.227605850161634","9.639810624230934"
Rajnish Retail Ltd,RRETAIL,,"197.0661","0.06221807435059884","0","879.0084621211","120.84848484848487","165.24242424242428","48.00000000000027","0.23519040902679833","100.00000000000348","0.7426891536438228"
Universal Autofoundry Ltd,UNIAUTO,"Auto Parts","197.0246525","94.27882129932792","28.536963639496804",,"1.2005000781372086","1.5175808720112516","3.6335877862595396","13.46653412856197","5.994851048179471","6.819484240687674"
Digidrive Distributors Ltd,DIGIDRIVE,"Online Services","196.999841178","0.03985298675995218","0",,"4.052380952380952","4.757142857142857","190.66666666666666","2.457347029924073","16.02993304450572","2.2768887827402278"
Sel Manufacturing Company Ltd,SELMC,"Textiles","196.7538486",,,,"0.04072274313873108","0.0994456231606324","-2.2370407649723205","-2.246915690799783",,
Samkrg Pistons and Rings Ltd,SAMKRG,"Auto Parts","195.9680775","15.825482869322666","0",,"1.2906282906282904","1.946121446121446","5.287598944591038","4.35341576778041","17.502430893179657","7.6488549618320745"
Indian Sucrose Ltd,INDSUCR,"Sugar","195.922303775","97.34240954867586","14.332338679597159",,"0.563029090349392","1.1641372941357548","2.6470806991446643","13.996128033040783","8.727175796348135","12.07197734172278"
Lambodhara Textiles Ltd,LAMBODHARA,"Textiles","195.8564448","51.34037367993501","36.79032403646539",,"2.0185255198487715","2.6967863894139885","3.429012345679011","4.131456370976089","5.657135844888938","5.77803203661327"
Samrat Pharmachem Ltd,SAMRATPH,"Commodity Chemicals","194.929173","12.999999999999998","0",,"1.4521276595744679","1.8187943262411348","4.637681159420205","6.149299141584267","3.7878787878786855","2.628120893561056"
Khemani Distributors & Marketing Ltd,KDML,"Commodities Trading","194.911416","5.453861584754263","5.453861584754263",,"4.919678714859438","10.598393574297187","183.71428571428564","4.131365313653136","455.26315789473665","44.54965357967666"
