Name,Ticker,"Sub-Sector","Market Cap","Domestic Institutional Holding","Mutual Fund Holding","Foreign Institutional Holding","Promoter Holding","MF Holding Change – 3M"," MF Holding Change – 6M","FII Holding Change – 3M","Promoter Holding Change – 6M ","DII Holding Change – 3M","DII Holding Change – 6M","FII Holding Change – 6M","Promoter Holding Change – 3M","Insurance Firms Holding","Retail Investor Holding"
K.P. Energy Ltd,KPEL,"Renewable Energy","2781.6399","0","0","0.37190883190883195","45.0090808217124","0","0","0.04436647173489283","0.20691258059679285","0","0","0.10762183235867451","0.20691258059679285","0","27.23040185934923"
Kalyani Investment Company Ltd,KICL,"Asset Management","2778.86649348","0.18454605473247465","0.0018326321224674742","1.2429827370635644","74.97414843312245","0","0","-0.15167321603571415","0","0.04883964606375818","0.16564703596952882","-0.655899036631109","0","0","16.383845714366874"
SG Finserve Ltd,SGFIN,"Specialized Finance","2774.907275","1.6912890240629752","0","0.3731281867787816","46.98989176133823","0","0","0.12274713219430394","-0.8089762799364095","0.3045195302562489","0.8796273013746643","0.17082969181072033","-0.7828942114877577","0","8.234240987565972"
Tinna Rubber and Infrastructure Ltd,TINNARUBR,"Tires & Rubber","2756.0509025","0","0","0.790992148048688","72.65228407133891","0","0","0.046498730260661536","-1.155439446568792","0","0","-0.02939373595259631","-0.8927347558305883","0","15.331918619924693"
Motisons Jewellers Ltd,MOTISONS,"Apparel & Accessories Retailers","2749.006104","0.3606037827844707","0","0.06518395871848526","66.00065010259432","0","0","-3.8198839973183265","0","-0.004260203563374865","-0.09467525343843325","-7.398751599861853","0","0","14.784962314365234"
Vindhya Telelinks Ltd,VINDHYATEL,"Telecom Equipments","2746.31899162","9.66508515033884","8.3309375865707","1.5506296883189012","43.54286265903167","-0.05489051725600014","-0.05489051725600014","-0.022327487879996832","0","-0.054890517256001914","-0.059261506946794995","-0.054072011464481706","0","0","16.522256649157114"
HLE Glascoat Ltd,HLEGLAS,"Industrial Machinery","2742.565659","3.5728086874947635","3.572807222625549","4.266244081195943","66.69325697263096","0.006981566671763861","-0.003588929573190125","-0.017758609475828635","0","-0.19287346987086273","-0.370226650424196","0.026275359083390626","0","0","13.400920933977172"
Ge Power India Ltd,GEPIL,"Construction & Engineering","2727.754635825","2.9900589299276183","1.909902277894702","0.39362034011364194","68.57625657225749","-0.6303360719905704","-0.9205373797268084","0.13768627411255735","0","-0.5187745348921431","-0.8876118514111591","0.27717240769030266","0","0.4596350203326851","19.82263024590052"
Jash Engineering Ltd,JASH,"Construction & Engineering","2718.538089425","3.5255417662833577","3.2992248978924748","1.667422574704027","43.65014471476426","-0.03629135258575378","-0.1323498424349645","0.4887119555864399","-7.330091458961363","-0.06568686594062001","-0.42181199837650185","0.45875667578733914","-5.790415771095731","0","23.301662451563608"
Mayur Uniquoters Ltd,MAYURUNIQ,"Textiles","2715.570237","3.9679063354613833","2.945696045285148","3.2843040002184174","58.518053539494815","-2.5807961303768154","-4.8412494368933805","0.4400536031998108","0","-2.469872089478211","-4.697581030473738","0.4458575829416236","0","0.47280706943389017","20.918780686466786"
