Name,Ticker,"Sub-Sector","Market Cap","Reserves & Surplus","Cash and Equivalent","Long Term Investments","Total Debt","Total Assets","Total Deposits – Banks","Total Current Assets","Total Cash Dividend Paid","Total Current Liabilities","Total Equity","Long Term Debt","Operating Cash Flow","Total Liabilities"
Erp Soft Systems Ltd,ERPSOFT,"Software Services","45.144","13.57","0.35000000000000003","5.87","1.88","23.57",,"14.04","0","4.14","17.53","1.88","-0.04","6.039999999999999"
Cospower Engineering Ltd,COSPOWER,"Electrical Components & Equipment","45.1425","2.9099999999999997","0.24","0","19.580000000000002","34.85000000000001",,"18.750000000000004","0","15.83","7.220000000000001","11.100000000000001","5.56","27.630000000000006"
Shree Hari Chemicals Export Ltd,SHHARICH,"Commodity Chemicals","45.129945","15.84","3.86","0.74","26.83","71.56",,"36.37","0","46.63999999999999","20.29","3.8399999999999967","9.96","51.27"
Nippon India Nifty Pharma ETF,PHARMABEES,"Equity","45.057158312",,,,,,,,,,,,,
Kridhan Infra Ltd,KRIDHANINF,"Iron & Steel","45.020122375","-633.23","1.47","1.75","27.450000000000003","33.22",,"13.809999999999999","0","387.78999999999996","-355.35","0","-4.73","388.57"
Innokaiz India Ltd,INNOKAIZ,"Advertising","44.9940636","19.19","4.66","2.7","18.689999999999998","83.76",,"58.150000000000006","0","20.12","47.86","15.51","-15.29","35.9"
Tecil Chemicals and Hydro Power Ltd,TECILCHEM,"Commodity Chemicals","44.8681142","-54.040000000000006","0.01","0","13.24","5.41",,"1.94","0","10.02","-17.85000000000001","13.24","-0.36","23.260000000000012"
Kanco Tea & Industries Ltd,KANCOTEA,"Agro Products","44.578840554","62.12","8.69","19.66","37.32","122.32",,"24.18","0.51","45.769999999999996","67.24","4.290000000000001","-4.53","55.08"
Swasti Vinayaka Art and Heritage Corporation Ltd,SVARTCORP,"Real Estate","44.55","15.26","9.13","7.27","14.770000000000001","47.94",,"32.79","0","1.85","24.259999999999998","14.71","0.54","23.680000000000003"
India Cements Capital Ltd,INDCEMCAP,"Tour & Travel Services","44.49771","-12.99","13.43","0","44.32","66.96",,"22.779999999999998","0","4.87","17.770000000000003","44.32","0","49.18999999999998"
TGB Banquets and Hotels Ltd,TGBHOTELS,"Hotels, Resorts & Cruise Lines","44.4567552","-27.940000000000005","0.29","0","7.130000000000001","109",,"85.89999999999999","0","31.08","74.14000000000001","2.7","10.22","34.85999999999999"
Vera Synthetic Ltd,VERA,"Textiles","44.415","12.27","5.42","0","0","23.450000000000003",,"16.6","0","2.52","20.93","0","5.71","2.5200000000000036"
B2B Software Technologies Ltd,B2BSOFT,"Application Software","44.2931328","8.43","19.05","0","0","22.819999999999997",,"21.849999999999998","0","2.6399999999999997","20.02","0","1.49","2.7999999999999963"
Shree Ganesh Bio-Tech (India) Ltd,SHREEGANES,"Agro Products","44.247264","17.69","0.43","0","0","73.63000000000001",,"3.73","0","10.64","62.980000000000004","0","10.16","10.650000000000006"
Bervin Investment and Leasing Ltd,BERVINL,"Diversified Financials","44.23575","32.9","53.81","1.22","10.91","59.18",,"57.49","0","2.3900000000000006","38.8","10.91","27.19","20.380000000000003"
Venlon Enterprises Ltd,VENLONENT,"Commodity Chemicals","44.14490743","-110.05","11.719999999999999","0.26","119.41999999999999","64.16",,"17.209999999999997","0","43.74","-80.67999999999999","101.1","0.6","144.83999999999997"
Gothi Plascon (India) Ltd,GOTHIPL,"Real Estate Operating Companies","44.1354","1.38","0.7","0","0.15","14.9",,"8.39","2.04","0.76","11.579999999999998","0.15","2.28","3.320000000000001"
Family Care Hospitals Ltd,FAMILYCARE,"Health Care  Services","44.076055583999995","-0.09999999999999964","17.46","0","3.65","69.96000000000001",,"55.480000000000004","0","10.06","58.37","0.17999999999999994","-0.37","11.59000000000001"
Sonal Adhesives Ltd,SONALAD,"Specialty Chemicals","44.008921","1.15","0.44","0","7.31","33.13",,"26.14","0","24.41","7.209999999999999","1.0699999999999998","-0.53","25.92"
PVV Infra Ltd,PVVINFRA,,"43.971382824","9.93","0.12","0","2.75","70.32000000000001",,"49.150000000000006","0","16.16","51.38","2.75","-1.05","18.94"
Unison Metals Ltd,UNISON,"Housewares","43.89754","16.509999999999998","2.57","2.18","59.66","186.85",,"148.51","0","127.72999999999999","33.169999999999995","24.850000000000005","5.34","153.68"
ARSS Infrastructure Projects Ltd,ARSSINFRA,"Construction & Engineering","43.725108618","-383.94","71.4","2.44","1631.53","1601.89",,"273.93","0","1762.12","-161.69","0","28.01","1763.5800000000002"
