Name,Ticker,"Sub-Sector","Market Cap","Alpha","Beta","Sharpe Ratio","Volatility vs Nifty","100D SMA","200D SMA","Volatility"
BEML Land Assets Ltd,BLAL,"Real Estate","1061.518305",,,,"3.7602638628803566","280.9785","257.5017500000002","52.70877104360043"
Sika Interplant Systems Ltd,SIKA,"Aerospace & Defense Equipments","1059.428924625","60.3457855838663","0.803729224564566","0.122288719920769","3.936190320889155","2726.1914999999995","2139.0112499999996","55.17478612494484"
Bajaj Healthcare Ltd,BAJAJHCARE,"Pharmaceuticals","1057.432696","-6.14097491238752",,"-0.015766284849613","2.9686505260279836","349.32500000000005","345.15049999999997","41.612484280561674"
Max India Ltd,MAXIND,"Hospitals & Diagnostic Centres","1056.1728391200002","36.8636439981498","0.551888110948678","0.09713210675905","3.252810953592954","283.23400000000004","240.35975000000005","45.59564808564122"
Benares Hotels Ltd,BENARAS,"Hotels, Resorts & Cruise Lines","1055.171","50.2836343536544","0.480856246545873","0.197602825901452","2.2445190104125654","8464.681","8706.26375","31.462110888203046"
Vinyas Innovative Technologies Ltd,VINYAS,"Electronic Equipments","1052.58648264",,,,"5.405225567000767","946.6094999999998","777.2534999999999","75.76670341209076"
RSWM Ltd,RSWM,"Textiles","1051.07407846","2.78334378647695","0.939170675037429","0.00999995062076","2.8435681035842473","208.5104000000001","205.57995","39.85916562884461"
Infobeans Technologies Ltd,INFOBEAN,"Software Services","1050.17472885","-1.04141824249685","1.0683990556735","0.004208964481565","2.533087841694025","433.04100000000005","425.26525000000015","35.50706863930163"
Lancer Container Lines Ltd,LANCER,"Logistics","1046.62922112","37.8414500395681","1.15790363906413","0.086471190054754","3.8451274569730134","53.761499999999984","68.22543333333333","53.8983300517123"
Vilas Transcore Ltd,VILAS,"Heavy Electrical Equipments","1046.52",,,,"5.408356491028371",,,"75.81059053377788"
Nectar Lifesciences Ltd,NECLIFE,"Pharmaceuticals","1045.50464214","19.5822702520262","1.11424702375364","0.044103028868792","4.011032828599505","34.54199999999999","34.36575000000001","56.22387649388825"
Ganesh Green Bharat Ltd,GGBL,"Renewable Energy","1042.510035",,,,"4.125910720394085",,,"57.83415511192487"
Anuh Pharma Ltd,ANUHPHR,"Pharmaceuticals","1040.82624","20.3207812037687","0.44757025944389","0.053560562668593","3.53076807446133","226.04549999999995","210.14600000000002","49.491858239512474"
Chemcon Speciality Chemicals Ltd,CHEMCON,"Specialty Chemicals","1039.029833865","-20.1780121737303","0.768628964522196","-0.075703378555163","2.2496005715753435","258.55659999999995","264.30230000000006","31.53334068846173"
TGV SRAAC Ltd,TGVSL,"Commodity Chemicals","1035.558366","25.4706963135736","1.4646992923109","0.070617503615876","2.758824722079325","92.77609999999999","96.2498","38.67129167741878"
Virtuoso Optoelectronics Ltd,VOEPL,"Household Appliances","1034.32294812","57.4358693713709",,"0.146474179355392","4.171742336174483","289.609","270.66574999999995","58.476590917181575"
Prime Securities Ltd,PRIMESECU,"Investment Banking & Brokerage","1032.93753175","38.8043997064051","0.766300655084022","0.144639930903732","2.860236280650775","234.22840000000005","206.91644999999997","40.092808575390606"
Ice Make Refrigeration Ltd,ICEMAKE,"Electrical Components & Equipments","1031.52127695","78.5512107675934","1.03093293817799","0.181486708709321","4.324184687349832","714.0245000000002","633.36375","60.613422075433"
Krishna Defence & Allied Industries Ltd,KRISHNADEF,"Industrial Machinery","1030.31572041","91.2324371656875",,"0.193355577230185","4.523591123532832","698.0980000000002","535.5825000000001","63.40856320718833"
Bodal Chemicals Ltd,BODALCHEM,"Commodity Chemicals","1030.096507635","-18.8616597623717","1.50067757307623","-0.056334375632024","2.7966971234645586","77.70899999999996","79.75399999999999","39.20216073509084"
20 Microns Ltd,20MICRONS,"Specialty Chemicals","1028.6015333","52.2396253375376","1.28351781138005","0.15433855109856","3.9731403815015005","235.40890000000002","198.71269999999993","55.692726449316496"
GHCL Textiles Ltd,GHCLTEXTIL,"Textiles","1026.7825132120001",,,,"3.0725885936482733","94.46600000000001","87.03325","43.069416030217035"
RACL Geartech Ltd,RACLGEAR,"Auto Parts","1024.52154","20.3064418334521","0.933485945907203","0.064856833623918","2.8540387979189683","1122.4610000000007","1155.3784999999998","40.00593656048172"
Royal Orchid Hotels Ltd,ROHLTD,"Hotels, Resorts & Cruise Lines","1022.9605195","39.7624242872028","1.33808384361927","0.132964692412182","3.01194209895438","360.93750000000006","363.97000000000014","42.21931552663994"
Ambika Cotton Mills Ltd,AMBIKCO,"Textiles","1022.256","-4.85441848807696","1.11925809204201","-0.002147378235753","2.400044659398857","1673.8729999999998","1668.59275","33.64216157686575"
CSL Finance Ltd,CSLFINANCE,"Specialized Finance","1021.16595435","18.9498332713421",,"0.068877166868386","3.5423940042031568","443.29150000000004","446.7144999999998","49.654822459917355"
Mallcom (India) Ltd,MALLCOM,"Business Support Services","1015.872","18.3887297451611",,"0.052482955894018","3.389513398820622","1220.9245","1121.4830000000002","47.51184815812393"
Emkay Taps and Cutting Tools Ltd,EMKAYTOOLS,"Industrial Machinery","1013.7735","70.1129424148407","0.53420248489892","0.156210726769164","4.388447004043889","861.4105000000001","753.5220000000002","61.51420666419423"
Orient Paper and Industries Ltd,ORIENTPPR,"Paper Products","1007.8811345","8.73400875230077","1.43814676682284","0.048021378215182","3.1398230382023846","51.65939999999998","49.22320000000001","44.011861846115636"
STEL Holdings Ltd,STEL,"Asset Management","1000.282951","34.0178982623625","1.25634573980387","0.10014262097656","3.3113150715846755","431.4785","370.6514999999999","46.41571823837017"
Rushil Decor Ltd,RUSHIL,"Building Products - Laminates","993.8243043","20.0173876410168","1.86553535437249","0.046519683592232","3.447061603731024","34.498499999999986","34.60527500000003","48.318518984215665"
Algoquant Fintech Ltd,AQFINTECH,"Investment Banking & Brokerage","993.53086","70.4474460190706","0.765853491365394","0.174112970901763","2.3928597846051494","1220.4530000000004","1253.6784999999993","33.5414489848009"
Investment Trust of India Ltd,THEINVEST,"Investment Banking & Brokerage","992.602123","17.4317888436464","1.12986876261725","0.04955997745672","3.2423606621381307","164.50650000000007","149.77824999999996","45.449163147424876"
Foods and Inns Ltd,FOODSIN,"FMCG - Foods","992.145387846","13.7365699687246",,"0.036967772420402","3.232649753223886","146.402","150.73075","45.31304236089206"
Entertainment Network (India) Ltd,ENIL,"Radio","985.5381597100001","0.031147651210717","1.0462246702342","-0.006510862753285","3.8907165223058593","230.92190000000002","242.9787000000001","54.537365953006756"
The Ruby Mills Ltd,RUBYMILLS,"Textiles","984.3064","22.1275731944601","0.99347845922901","0.072410419629783","2.893563363774392","237.3556999999999","228.83660000000003","40.55996451390184"
Sastasundar Ventures Ltd,SASTASUNDR,"Diversified Financials","979.12719","0.546713876032811","0.815352861463782","0.001221542711004","3.6290938945464024","317.4414999999999","349.4585000000003","50.8701213953774"
Aimtron Electronics Ltd,AIMTRON,"Electronic Equipments","973.94359075",,,,"4.613501755330952",,,"64.66886808967666"
Tracxn Technologies Ltd,TRACXN,"IT Services & Consulting","973.0406777700001",,,,"3.5025427477893176","91.67820000000002","96.29910000000007","49.096215184813026"
Sree Rayalaseema Hi-Strength Hypo Ltd,SRHHYPOLTD,"Commodity Chemicals","972.7304060700001","12.369621538953","1.868554993003","0.052864519173634","2.680541320193356","565.435","560.8330000000001","37.573969240221246"
AFCOM Holdings Ltd,AFCOM,,"972.4334587200001",,,,"5.643222633788099",,,"79.10278124061125"
NCL Industries Ltd,NCLIND,"Cement","972.00742431","-5.52796190253731","1.0716576055736","-0.03820805992579","2.342458903987051","224.10190000000003","222.24820000000008","32.83496439388705"
Morganite Crucible (India) Ltd,MORGANITE,"Industrial Machinery","966.588","21.8494759609918","0.263501976577874","0.049949195146299","2.6263518488652084","1578.2514999999999","1552.95525","36.81437881216517"
Aym Syntex Ltd,AYMSYNTEX,"Textiles","961.0023339520001","18.009569312282","1.71938944573138","0.055362771267403","3.7615343052348282","116.97239999999998","99.84720000000004","52.72657922345902"
Innovana Thinklabs Ltd,INNOVANA,"Software Services","960.22","79.5195817450837","-0.126398288996502","0.133300474633509","3.78957708574158","525.9005000000001","547.7382500000002","53.11966347261171"
Sarveshwar Foods Ltd,SARVESHWAR,"Packaged Foods & Meats","957.282048","97.2047574805106","0.167097450007967","0.17558350356548","3.798825155640052","9.147400000000001","8.874449999999994","53.2492965028056"
Dhanlaxmi Bank Ltd,DHANBANK,"Private Banks","956.3856775200001","25.7874107372822","1.21921475393251","0.086466472713038","3.797313202322325","41.604099999999995","41.391549999999995","53.22810298975473"
Transpek Industry Ltd,TRANSPEK,"Commodity Chemicals","955.91427866","-15.0473380152","0.742526751372911","-0.06899413488989","2.3621859988735685","1734.7499999999989","1796.624000000002","33.111485129038954"
Onward Technologies Ltd,ONWARDTEC,"Outsourced services","953.65297305","17.0072240567852","1.53085153420401","0.059615258917498","3.2460529016460127","422.1665000000001","487.09900000000016","45.50091840023578"
RBM Infracon Ltd,RBMINFRA,"Construction & Engineering","951.7026",,,,"4.533450306994629","599.005","573.4715000000001","63.546762403498626"
Silver Touch Technologies Ltd,SILVERTUC,"IT Services & Consulting","950.884785","54.0713122165687","0.16157953445936","0.131340315385522","2.216352843537949","755.9744999999999","722.3452500000002","31.067297094515496"
W S Industries (India) Ltd,WSI,"Industrial Machinery","948.2190898399999","119.974056730615","0.529173055472703","0.245040036026358","4.014489684623593","155.4223","145.73215000000002","56.272332304264474"
Ugar Sugar Works Ltd,UGARSUGAR,"Sugar","946.575","42.2753746999015","0.90757279427772","0.103079560823006","2.8022174531254986","79.94829999999999","80.15339999999998","39.279540887865764"
Kore Digital Ltd,KDL,"Telecom Infrastructure","945.36696",,,,"4.63568403324568","1602.0505000000005","1241.7275000000002","64.97980387782036"
RMC Switchgears Ltd,RMC,"Electrical Components & Equipments","944.858778","179.410421984586","-0.047947905932644","0.262189231021449","5.807632845508545","671.5025000000002","598.7662499999999","81.40736956813485"
MMP Industries Ltd,MMP,"Metals - Aluminium","938.3725242200001","27.5522099221851","1.15088632328996","0.085633707649052","3.442401523951996","314.53199999999987","278.9612500000001","48.2531972176922"
Deep Energy Resources Ltd,DEEPENR,"Oil & Gas - Equipment & Services","935.36","70.5991174638237","0.818293434132528","0.15000630131398","4.210536211089212","194.3878","189.31139999999994","59.02037655173761"
Rane Brake Linings Ltd,RBL,"Auto Parts","935.0051961600001","5.55401432726844","1.03474552288481","0.023732034626345","3.2721700164550276","1006.8094999999998","908.4289999999995","45.867010003108916"
Zodiac Energy Ltd,ZODIAC,"Renewable Energy Equipment & Services","933.3943362","121.702972335257","1.09393110961299","0.21869542788933","3.412739782901648","667.0349999999999","483.2915000000001","47.837419502407144"
Nandan Denim Ltd,NDL,"Textiles","933.3529128","41.438067088856","1.31084885049543","0.092832595392935","4.4655477753890125","46.96470000000003","39.99410000000001","62.59495180663808"
Davangere Sugar Company Ltd,DAVANGERE,"Packaged Foods & Meats","932.3770184200001",,,,"4.079423305451876","8.50235","8.804155","57.18252676882215"
Jayant Agro-Organics Ltd,JAYAGROGN,"Specialty Chemicals","931.95","3.51070743505012","1.31743579306319","0.01706885028816","3.110626692674803","288.9855000000001","266.03675","43.60260772251157"
