Name,Ticker,"Sub-Sector","Market Cap","Close Price","1W Return","1M Return","6M Return","1Y Return","1W Change in Volume","1M Average Volume","3M Average Volume","1W Return vs Nifty","1M Return vs Nifty","6M Return vs Nifty","1Y Return vs Nifty","% Away From 52W High","% Away From 52W Low","5Y CAGR"
Black Box Ltd,BBOX,"Software Services","8430.6465144","501.6","-2.7277893540443223","-2.5616698292220113","117.85016286644952","160.97814776274717","37.4650359238743","180203.16666666666","704550.4461538461","-4.570199295272603","-5.969823073874352","102.78897686917898","134.93050529976296","16.427432216905903","183.95131616190207","83.43748125446811"
Shakti Pumps (India) Ltd,SHAKTIPUMP,"Industrial Machinery","8428.76657","4207","-3.3310810810810727","-5.008410056657208","213.1140220303662","389.47062245491566","-28.224805612542106","46122.625","103742.16923076923","-5.173491022309354","-8.416563301309548","198.05283603309564","363.42297999193147","20.64297599239362","417.33890801770775","68.3830222962414"
SBI Nifty 50 ETF,SETFNIF50,"Equity","8375.508879793","267.83","2.1850655519665594","3.6463151403021814","16.255751367306186","27.714462829621844","-2.8840366267528976","558313.5","892043.676923077","0.34265561073827855","0.23816189564984125","1.1945653700356438","1.6668203666376336","1.2395922786842428","36.02336211274757","19.126361899148804"
BHARAT Bond ETF-April 2023-Growth,EBBETF0423,"Debt","8369.700871194","1230.39",,,,,"0","6863","6863",,,,,,,
Kirloskar Pneumatic Company Ltd,KIRLPNU,"Industrial Machinery","8369.54018595","1291.05","0.7748129110288003","-1.7249640632486722","94.27432096907683","119.92164210884934","-56.18591687606504","100890.45833333333","109925.93846153846","-1.0675970301994804","-5.133117307901013","79.21313497180628","93.87399964586513","12.67960187444328","138.61935126143612","52.79961950166354"
ITD Cementation India Ltd,ITDCEM,"Construction & Engineering","8365.196402880001","486.95","0.8137618459002979","-10.416475972540043","58.25479363015925","118.90312429759497","-39.32919786578323","772318.25","1718834.5846153847","-1.0286480953279828","-13.824629217192383","43.19360763288871","92.85548183461076","21.152069000924122","159.0159574468085","49.98835495618912"
Chemplast Sanmar Ltd,CHEMPLASTS,"Building Products - Pipes","8363.20591673","528.95","2.0724365933089905","4.590959652138738","24.60541813898705","8.369186642081544","422.31888235718037","348292.9166666667","412372.8461538461","0.23002665208070971","1.1828064074863982","9.54423214171651","-17.678455820902666","19.841194819926255","31.318272095332688",
Sunteck Realty Ltd,SUNTECK,"Real Estate","8355.58533976","570.4","-2.4557788081744727","-4.4253743900386935","45.39892939077236","31.73210161662817","0.9006566522224622","505428.9583333333","796914.4461538461","-4.298188749402754","-7.833527634691034","30.337743393501817","5.68445915364396","22.54558204768584","50.085515063807385","4.9050290068744395"
Anupam Rasayan India Ltd,ANURAS,"Specialty Chemicals","8328.2152176","758.25","-1.0561783191861567","-4.919053549190536","-16.799253854172385","-19.292176689728578","-26.109525045419154","67724.75","147848.03076923077","-2.8985882604144377","-8.327206793842876","-31.860439851442926","-45.33981915271279","45.90174744477415","5.254025541365914",
Nazara Technologies Ltd,NAZARA,"Theme Parks & Gaming","8322.7552254","1087.35","10.13917525773195","12.451976211778325","60.04562849573152","30.50288046087372","-36.90462155362684","1365838.25","1031609.2615384615","8.296765316503668","9.043822967125985","44.98444249846098","4.455237997889508","0.9794454407504594","83.82924767540149",
Mastek Ltd,MASTEK,"IT Services & Consulting","8277.2833764","2681.4","-0.9020105053432382","-1.1687349843747146","1.9194952297692804","13.52243861134632","0.8503198633130687","215015.83333333334","149001.36923076923","-2.744420446571519","-4.5768882290270545","-13.141690767501261","-12.52520385163789","17.289475647050033","27.500534937352896","49.520876464489106"
Mahindra Holidays and Resorts India Ltd,MHRIL,"Hotels, Resorts & Cruise Lines","8274.61873435","410.5","-3.789986091794151","3.568309419837807","8.483086680761106","1.1083743842364533","-52.80788576170669","237383","323401.8923076923","-5.632396033022432","0.16015617518546676","-6.5780993165094355","-24.93926807874776","23.02070645554202","18.044572250179726","22.46877635253346"
